"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@rxdian We'd love to have you on our network!!!! Come on back to us. ^NHP",FALSE,0,"rxdian",2017-07-02 06:58:00,FALSE,"881405857904431104","881406586157191168","1360592192","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
"2","@f4gtit1 We will have to refer you to our wireless counterparts for all your mobile concerns @VZWSupport. ^NHP",FALSE,0,"f4gtit1",2017-07-02 06:52:27,FALSE,"881404507003006976","881405190305443840","1916661320","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
"3","@ColoLibertarian Good morning, Are you referencing our wireless service? ^NHP",FALSE,0,"ColoLibertarian",2017-07-02 06:46:52,FALSE,"881402594744086528","881403783053529088","1067517138","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
"4","@Cat_5_Cane You're welcome Donna. We're always just a tweet away. ^NHP",FALSE,0,"Cat_5_Cane",2017-07-02 05:26:23,FALSE,"881383051569311744","881383530995101696","176967147","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
"5","@wannaREESES You view content on the app using your Verizon credentials. ^NHP",FALSE,0,"wannaREESES",2017-07-02 04:59:29,FALSE,"881375956983840768","881376761614913536","81991652","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
"6","@grilledcheez Let us get this over to our wireless counterparts for all your mobile concerns @VZWSupport. ^NHP",FALSE,0,"grilledcheez",2017-07-02 04:08:26,FALSE,"881363264743120896","881363912805019648","3375331","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
"7","@Yamuva_ Hello Steups, What issues are you having with your internet service? ^NHP",FALSE,0,"Yamuva_",2017-07-02 04:07:00,FALSE,"881362973796827136","881363553252454400","1138278067","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
"8","@IBecomeEveryone Hello Jack, We don't want you to feel that way. How can we turn this around for you? ^NHP",FALSE,0,"IBecomeEveryone",2017-07-02 04:04:26,FALSE,"881361832455409665","881362905433878529","3072826246","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
"9","@grilledcheez We will have to refer you to our wireless counterparts for all your mobile concerns @VZWSupport. ^NHP",FALSE,0,"grilledcheez",2017-07-02 03:52:28,FALSE,"881359018429644800","881359896238845952","3375331","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
"10","@Cat_5_Cane Hello Donna, Are you having issues with all if your services? ^NHP",FALSE,0,"Cat_5_Cane",2017-07-02 03:28:48,FALSE,"881353437744685056","881353938477490178","176967147","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
"11","@amycmac1201boo Hello amymac, What color are the lights currently on your router? ^NHP",FALSE,0,"amycmac1201boo",2017-07-02 03:13:29,FALSE,"881349258812829700","881350085824593920","735744342686470144","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
"12","@TheBradyReport We can assist you here. What's going on with your service? ^NHP",FALSE,0,"TheBradyReport",2017-07-02 03:09:54,FALSE,"881348552269680640","881349182749114368","14839107","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
"13","@FREAKYFAST4 Hello Chris, Is this in reference to your wireless or home service? ^NHP",FALSE,0,"FREAKYFAST4",2017-07-02 03:02:24,FALSE,"881346640518492160","881347295060668416","373065120","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
"14","@NedlohESEAtv Hello Holden, What's going on with your router? ^NHP",FALSE,0,"NedlohESEAtv",2017-07-02 02:50:00,FALSE,"881343710977544192","881344174829817856","990014065","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
"15","@EarlNash Hello EarlNash, How can we assist you tonight with your service? ^NHP",FALSE,0,"EarlNash",2017-07-02 02:44:00,FALSE,"881337218262020097","881342665790545921","16405557","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
"16","@sonanyc We want to restore your faith in us, and get your concerns resolved. Is this in reference to your home or wireless account? ^NHP",FALSE,0,"sonanyc",2017-07-02 02:18:00,FALSE,"881335374269865984","881336121527070722","116511090","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
"17","@walker828 Stuck on the wrong network? You deserve reliable service on the better network. DM us and we will cover… https://t.co/mqChhUbvUM",FALSE,0,"walker828",2017-07-01 13:49:53,TRUE,"880730836898914304","881147851077808128","452196244","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
"18","@chris693850 Let us help you get a new phone on the better network. DM us and we will cover the cost to switch. *KGG https://t.co/RWxolnhVh4",FALSE,0,"chris693850",2017-07-01 13:49:24,FALSE,"880738916676116481","881147730361503744","614141325","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
"19","@_YourrLovee Quality customer service is waiting for you on the better network. DM us and we will cover the cost to… https://t.co/q3ilMmoJhf",FALSE,0,"_YourrLovee",2017-07-01 13:48:55,TRUE,"880744778115297280","881147608198242304","417263105","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
"20","@BamJordan  Reliable service is what we do best! Try us out. DM us and we will cover the cost to switch. *KGG https://t.co/RWxolnhVh4",FALSE,0,"BamJordan",2017-07-01 13:47:54,FALSE,"880743621091315713","881147351666241536","28143374","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
"21","@TjVIII We want you back!  Use your unlimited data the way you want to.  DM us and we will cover the cost to switch… https://t.co/07AnZjGBP3",FALSE,0,"TjVIII",2017-07-01 13:46:01,TRUE,"879867361804857344","881146878880034816","52571628","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
"22","@catlondra We want you back!  Use your unlimited data the way you want to.  DM us and we will cover the cost to swi… https://t.co/zc1BiVYsCf",FALSE,0,"catlondra",2017-07-01 13:40:30,TRUE,NA,"881145491886571520","3023204720","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
"23","@pittsadelphia We want you back!  Use your unlimited data the way you want to.  DM us and we will cover the cost to… https://t.co/SfY2y6BA1x",FALSE,0,"pittsadelphia",2017-07-01 13:40:00,TRUE,"879863828489662466","881145365248040961","726913377268703233","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
"24","@lanejensenpdx Quality customer service is waiting for you on the better network. DM us and we will cover the cost… https://t.co/Y7tbrHOMLj",FALSE,0,"lanejensenpdx",2017-07-01 13:39:30,TRUE,"880689191742517248","881145238198288385","46483265","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
"25","@C_Bryant05 Why wait?  DM us and we will cover the cost to switch. *KGG https://t.co/RWxolnhVh4",FALSE,1,"C_Bryant05",2017-07-01 13:39:00,FALSE,NA,"881145113476571136","3191304533","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
"26","@kuya_armand Maybe it's time for a fresh start on a better network. DM us and we will cover the cost to switch. *KGG https://t.co/RWxolnhVh4",FALSE,0,"kuya_armand",2017-07-01 13:39:00,FALSE,"880693533132435457","881145113036062721","742161426","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
"27","@vixen______ You deserve superior customer service on a superior network.  DM us and we will cover the cost to swit… https://t.co/yjdQeutdWo",FALSE,0,"vixen______",2017-07-01 13:38:29,TRUE,"880694203512127488","881144983306350593","3350027998","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
"28","@__kahe You deserve better so try the nation’s best. Send DM us and we will cover the cost to switch. *KGG https://t.co/RWxolnhVh4",FALSE,0,"__kahe",2017-07-01 13:37:51,FALSE,"880697370916380672","881144824002486273","801656791","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
"29","@LeeMeek Why wait?  DM us and we will cover the cost to switch. *KGG https://t.co/RWxolnhVh4",FALSE,0,"LeeMeek",2017-07-01 13:36:00,FALSE,"880708512971730944","881144358363418625","70452170","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
"30","@shasol88 We want your business!  Use your unlimited data the way you want to.  DM us and we will cover the cost to… https://t.co/CZ6L8u5wGc",FALSE,0,"shasol88",2017-07-01 13:30:28,TRUE,"879859032613367813","881142965728677889","74335672","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
"31","@DeAndreJH  Don't miss another important moment. Better is waiting! DM us and we will cover the cost to switch. *KGG https://t.co/RWxolnhVh4",FALSE,0,"DeAndreJH",2017-07-01 13:29:55,FALSE,"880653591983398912","881142827895402496","166031434","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
"32","@Heartinzion You deserve superior customer service on a superior network.  DM us and we will cover the cost to swit… https://t.co/C66CjNQ7li",FALSE,0,"Heartinzion",2017-07-01 13:28:25,TRUE,"880661163238969346","881142448566804481","1711465687","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",1,FALSE,FALSE,NA,NA
"33","@yungmurdajay Have you checked out our new plans? You might be surprised. DM us and we will cover the cost to switc… https://t.co/5bWukLQOuk",FALSE,0,"yungmurdajay",2017-07-01 13:27:54,TRUE,"880666112303796228","881142319868768257","2411142873","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
"34","@kourtshu No one should struggle with their wireless carrier.  DM us and we will cover the cost to switch. *KGG https://t.co/RWxolnhVh4",FALSE,0,"kourtshu",2017-07-01 13:27:25,FALSE,"880669823654666240","881142197541842944","3035807606","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
"35","@TheeBarkingCat 
Reliable service is what we do best! Try us out. DM us and we will cover the cost to switch. *KGG https://t.co/RWxolnhVh4",FALSE,0,"TheeBarkingCat",2017-07-01 13:27:00,FALSE,"880669004184129540","881142092973707264","263941525","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
"36","@miri_love0_o We want you back!  Use your unlimited data the way you want to.  DM us and we will cover the cost to… https://t.co/3bUynmwrgr",FALSE,0,"miri_love0_o",2017-07-01 13:26:25,TRUE,"880672580885254146","881141948278603777","262964544","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
"37","@This_SuperKid  Reliable service is what we do best! Try us out. DM us and we will cover the cost to switch. *KGG https://t.co/RWxolnhVh4",FALSE,0,"This_SuperKid",2017-07-01 13:25:55,FALSE,"880672596043464704","881141820264247297","625193401","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","verizon",0,FALSE,FALSE,NA,NA
